,english,persian
770,stockholder`s equity,"حقوق صاحبان سهام 
مترادف  owner's equity "
771,straight bond value,ارزش اوراق قرضۀ صرف (بدون امکان تبدیل به سهام)
772,strategic alliance,اتحاد راهبردی (بین شرکت‌ها)
773,strategic asset seeking investment,سرمایه‌گذاری مبتنی بر دارایی‌های راهبردی
774,strategic assets,دارایی‌های راهبردی (برند، سرمایۀ انسانی، شبکه‌های توزیع و ...)
775,strategic options,انتخاب‌های راهبردی (آینده‌نگری شرکت‌ها در رابطه با حوزۀ فعالیت‌های خود)
776,stress test,آزمون استرس
777,striking price,"قیمت اعمال
مترادف exercise price"
778,strong - form efficiency,کارایی قوی
779,strong - form efficient market,بازار کارآی قوی
780,subadditive,زیرجمع (مدیریت ریسک) 
781,subjective expected utility (SEU),مطلوبیت ذهنی مورد انتظار (تصمیم‌گیری توأم با ریسک)
782,substitution swap,"سوآپ جایگزینی (اوراق قرضه)
← bond swap"
783,sub-utility function,زیرتابع مطلوبیت
784,supposition,موقعیت‌های فرعی
785,suspension of convertibility,تعلیق تبدیل‌پذیری (امتناع موقتی بانک‌ها از تبدیل سپرده‌ها به وجه نقد)
786,swap bank,"بانک سوآپ (تنظیم‌کنندۀ قرارداد سوآپ سهام)
← equity swap"
787,swap contract,قرارداد سوآپ
788,swap market,بازار سوآپ
789,swing traders,(بورس) نوسان‌گیر
790,symmetric firms,بنگاه‌های متقارن
791,systematic risk,"ریسک نظام‌مند
مترادف  market risk, nondiversifiable risk
←  nonsystematic risk; portfolio beta score; portfolio theory"
792,tail,دُم (قیمت)
793,tail dependence measure,معیار وابستگی دُم‌ها
794,take profit order (T/P),"سفارشِ کسب سودْ معین
مترادف take profit paint"
795,target cash balance,"ماندۀ نقدی هدف (تطابق هزینۀ نگهداری وجوه نقدی مازاد با هزینۀ فرصت کسری وجوه)
←   (adjustment costs; carrying charge (costs "
796,tax- oriented lease,"اجارۀ بلندمدت مالیات‌محور
مترادف tax lease
←   financial lease"
797,tax relief,معافیت مالیاتی
798,technology of financial system,فناوری نظام مالی
799,temporary sources of financing,"منابع تأمین مالی موّقت
← current liability"
800,tendency for regret,پشیمان‌گرایی
801,term structure of interest rates,"ساختار زمانی نرخ‌های بهره
← yield to maturity"
802,term to maturity,زمان تا سررسید
803,terminal wealth,"ثروت پایان دوره
مقابل  initial wealth"
804,terms of sale,شرایط فروش
805,theoretical basis,پایۀ نظری
806,theory of storage,"نظریۀ ذخیره‌سازی (قراردادهای آتی)
← contango"
807,theta,تتا (اندازه‌گیری حساسیت ارزش اختیار معامله نسبت به تغییر تاریخ انقضا)
808,time - of - day - order,سفارش روزِ زمان مشخص
809,time effect,اثر زمان
810,time interest earned (TIE),"معیار توانایی پرداخت بهره 
مترادف interest coverage ratio"
811,time interest earned (TIE),"نسبت پوشش بهره
مترادف interest coverage ratio
← fixed charge coverage"
812,timing,"زمان‌شناسی (بازار)
کوتاه‌شدۀ market timing"
813,too big to fail doctrine,آموزۀ ممنوعیت ورشکستگی شرکت‌های بزرگ (به دلیل تأثیرگذاری آن‌ها روی اقتصاد ملی)
814,top line ,"درآمد یا فروش ناخالص
مقابل bottom line"
815,toxic assets,دارایی‌های سمّی
816,trade credit,اعتبارات تجاری
817,trade repositories (TRs),مراکز گردآوری آمار معاملات مشتقه‌های خارج از بورس
818,trading symbol,نماد معاملاتی
819,trading systems,سامانه‌های معاملاتی
820,traditional mutual funds,"صندوق‌های سرمایه‌گذاری مشترک متعارف (غیر از صندوق‌های قابل معامله در بورس)
مقابل   (exchange-traded funds (ETFs  "
821,trailing price / earnings ratio (P/E),نسبت قیمت به سود قبلی (قیمت جاری تقسیم بر سود سال قبل)
822,trailing stop - loss order ,سفارش زیان‌گریز خودکار
823,transaction costs,هزینه‌های معاملاتی
824,transaction motive,"انگیزۀ معاملاتی (نگهداری وجوه نقد)
←  precautionary motive; speculative motive"
825,transferable,قابل‌انتقال
826,"Treasuries

Treasury bills 
Treasury notes
Treasury bonds ","تعهدات خزانه

اسناد خزانه (کوتاه‌مدت)
اوراق خزانه (میان‌مدت)
قرضۀ خزانه (بلندمدت)"
827,Treasury - Federal Reserve Accord,توافق خزانه‌داری - فدرال رزرو (رفع مسئولیت حمایت از قیمت اوراق بهادار دولتی از فدرال رزرو)
828,Treasury Recommendations of        1991,طرح پیشنهادی سال ۱۹۹۱خزانه‌داری (توصیه‌های خزانه‌داری امریکا به کنگره در خصوص اصلاح نظام مالی در فوریه ۱۹۹۱)
829,trend analysis,روندیابی (تحلیل تکنیکال)
830,trigger,ماشه‌چکان
831,trophy asset,دارایی فاخر
832,trust bank,بانک امین
833,trust funds ,صندوق امانی
834,unbiased expectation hypothesis,فرضیۀ انتظارات فاقد سوگیری
835,uncertainty,نااطمینانی
836,unconditional distributions,"توزیع‌های غیرشرطی
مقابل conditional distributions"
837,uncovered interest parity (UIP),شرط برابری تفاوت نرخ بهره با ارز
838,underlevered firm,"شرکت سبک‌اهرم
مترادف   underleveraged firm
مقابل   overleveraged firm"
839,unfunded liability ,بدهی تأمین‌نشده
840,uniform distribution,توزیع یکنواخت
841,unlevered cost of capital ,هزینۀ سرمایۀ غیراهرمی
842,unrealized gain,عایدی تحقق‌نیافته (سرمایه‌گذاری)
843,unseasoned new issue,"عرضۀ اولیه
مقابل(seasoned equity offering (SEO 
← initial public offering"
844,unsystematic risk,"ریسک غیرنظام‌مند
مترادف non-systematic risk"
845,upper tail dependence,"وابستگی دم بالا (نظریۀ احتمالات)
مقابل lower tail dependence"
846,upside deviation,"انحراف رو به بالا
مقابل downside deviation
← downside risk"
847,upside movements,"حرکات رو به بالا
مقابل downside movements"
848,upside volatility,"تلاطم رو به بالا
مقابل  downside volatility"
849,upstairs market,"بازار درون‌کارگزاری (بازار معاملات بلوکی خارج از تالار بورس اوراق بهادار)
← block positioners; offboard"
850,usury ceiling ,حدّ ربوی (محدودیت‌ قانونی بانک‌ها در ارتباط با نرخ بهرۀ وام‌های اعطایی)
851,value additivity,ارزش‌افزایی (تأثیر خالص ارزش فعلی هر پروژه روی ارزش شرکت)
852,value at risk (VaR),ارزش در معرض ریسک
853,value at risk surfaces,سطوح ارزش در معرض ریسک
854,value creation,ارزش‌آفرینی
855,value drivers,پیشران‌های ارزش
856,value investor,سرمایه‌گذار ارزشی
857,Value Line Composite Index,شاخص ترکیبی ولیولاین
858,value premium,صرف ارزش (بازدۀ بیشتر سهام ارزشی نسبت به سهام رشدی)
859,value stock,سهام ارزشی
860,value weighting index,"شاخص موزون ارزش (نظیر شاخص S&P 500 Index)
←  market index"
861,variation margin,"ودیعۀ متغیر (حساب اعتباری نزد کارگزار)
← initial margin"
862,vega,"وگا (اندازه‌گیری حساسیت ارزش اختیار معامله نسبت به انحراف معیار بازدۀ دارایی مبنا)
←  theta"
863,venture capital (VC),"سرمایۀ ریسک‌پذیر
مترادف   risk capital"
864,venture capital fund,صندوق جسورانه 
865,vertical FDI,سرمایه‌گذاری مستقیم خارجی عمودی
866,volatility clustering,خوشه‌بندی تلاطم (سری زمانی بازدۀ دارایی‌های مالی)
867,volatility measures,معیارهای تلاطم (معیارهای آماری پراکندگی بازدۀ اوراق بهادار یا شاخص بازار)
868,volatility smile,لبخند تلاطم (شکل مشترک نمودار قیمت اعمال و تلاطم ضمنی یک گروه اختیار معامله با تاریخ انقضای یکسان)
869,"WACC   → weighted average cost of capital
",میانگین موزون هزینۀ سرمایه
870,war stocks,سهام جنگی (سهام شرکت‌هایی که از وقوع جنگ منتفع می‌شوند)
871,wavelet analysis,تحلیل موجک (برای تعیین نرخ بهینۀ پوشش ریسک)
872,weak - form efficiency,کارایی ضعیف
873,weak - form efficient market,بازار کارآی ضعیف
874,Weber-Fechner Law,قانون وبر - فچنر (مالی رفتاری)
875,weighted average cost of capital ,"میانگین موزون هزینۀ سرمایه
← cost of capital"
876,weighted historical simulation,شبیه‌سازی تاریخی موزون
877,what - if analysis,"تحلیل شرط و جزا (ارزیابی پروژه)
← scenario analysis"
878,white noise,اخلال سفید
879,wholesale bank,"بانک عمده‌فروشی
مقابل retail bank"
880,wholesale deposit,"سپردۀ عمده
مقابل retail deposit"
881,wholesale market,"بازار عمده‌فروشی (به معنای عام و به معنای بازار معاملات سرمایه‌گذاران نهادی با یکدیگر)
مقابل  retail market"
882,wild fluctuations ,نوسانات وحشی
883,wishful thinking,تفکر آرزومندانه (مالی رفتاری)
884,yield to maturity (YTM),"بازده تا سررسید (اوراق قرضه)
کوتاه‌شده: yield
مترادف  promised yield to maturity
←  duration; horizon analysis; yield to average life; yield to call"
885,zero - balance account (ZBA),"حساب بدون مانده (مدیریت پرداخت‌ها)
←  controlled disbursement account"
886,α- quantile,چندک آلفا (توزیع ارزش سبد اوراق بهادار)
