,persian,english
2552,وام عندالمطالبه,money at call
2553,"پایۀ پولی 

مترادف  high powered money",money base
2554,"بانک مركزْپولی

مترادف  money market bank",money center bank
2555,صراف,money changer
2556,"گزارش میانگین بازدهی صندوق‌های پولی

( كه در روزنامه‌های مالی معروف در امریكا منتشر می‌شود )",Money Fund Report Average
2557,پول‌شویی,money laundering
2558,"مدیریت پول

مترادف  portfolio management",money management
2559, portfolio manager,money manager
2560,"بازار پول

 money market fund",money market
2561,حساب سپردۀ بازار پول,money market deposit account-MMDA
2562,حوالۀ پولی,money order 
2563,طرح خرید مستمری بازنشستگی,money purchase plan
2564, vertical spread,money spread
2565,"عرضۀ پول

 monetary policy",money supply
2566,صرافی‌های حوالۀ ارزی,money transfer / remittance companies	
2567,انحصار (تولید و توزیع),monopoly
2568,"انحصار خرید 

متضاد    monopoly",monopsony
2569, compound interest,monthly compounding of interest
2570, income preferred securities,monthly income debt securities-MIDS
2571, income preferred securities,monthly income preferred securities-MIPS
2572,"طرح سرمایه‌گذاری ماهیانه

 constant dollar plan",monthly investment plan
2573,"بورس مونترال 

(قدیمی‌ترین بورس كانادا)",Montreal Exchange-MX
2574,شرکت (خدمات) اعتبارسنجی سرمایه‌گذاری مودی,Moody’s Investors Service
2575,مسئولیت‌گریزی,moral hazard
2576,اوراق قرضه با تعهد اخلاقی,moral obligation bond
2577,"تذکر اخلاقی

( هیأت فدرال رزرو به اعضا  به منظور ترغیب آن‌ها به رعایت سیاست عمومی بانك )",moral suasion
2578,شاخص‌های سرمایه‌گذاری بین‌المللی مورگان استانلی,Morgan Stanley Capital International-MSCI
2579,"سامانۀ اعتبارسنجی مورنینگ استار

( صندوق‌های سرمایه‌گذاری مشترک با سرمایۀ ثابت و متغیر، صندوق‌های قابل معامله در بورس، مستمری‌ها، و ... )",Morningstar rating system
2580,رهنی,mortgaged
2581,عین مرهونه,mortgaged property
2582,مرتهن (وام‌دهنده),mortgagee
2583,راهن (وام‌گیرنده),mortgagor
2584,"برنامۀ تسریع اقساط رهنی 

( دو هفتگی به جای ماهانه )",mortgage acceleration program
2585,"گواهی با پشتوانۀ رهن

 pass-through security",mortgage - baked certificate
2586, housing bonds,mortgage - backed revenue bonds
2587, mortgage-backed certificate,mortgage - backed security
2588,بانکدار رهنی,mortgage banker
2589,كارگزار وام رهنی,mortgage broker
2590,بیمۀ اقساط رهن,mortgage life insurance
2591,"تجمیع رهن

( وام‌های رهنی یك‌كاسه‌شده )",mortgage pool
2592,صندوق سرمایه‌گذاری مستغلات رهنی,mortgage REIT - real estate investment trust
2593,مدیریت وام رهنی,mortgage servicing
2594,بورس بازار بین بانكی ارز مسکو,Moscow Interbank Currency Exchange-MICEX
2595,پرفروش‌های روز ( سهام ),most active list
2596,میانگین متحرک,moving average
2597,"میانگین متحرک همگرا - واگرا

( تحلیل تکنیکال )

 momentum indicators",moving average convergence / divergence-MACD
2598,"اوراق خزانۀ میان‌مدت 

( 5 تا 10 سال )",MTN-medium - term notes 
2599,"مضاربه

( قرارداد بین عامل كار و عامل سرمایه با تعیین  نسبت سود حاصل برای طرفین. درصورت مسكوت بودن قرارداد، زیان متوجه صاحب سرمایه است )",Mudaraba
2600,معاملات با چند حساب,multi-account trading
2601,شرکت چندملیتی,multinational corporation
2602, price - earnings ratio,multiple
2603,پذیرش در چند بورس,multiple listing
2604,"بیمۀ خطرات چندگانه  

مترادف  all - risk insurance",multiple peril insurance
2605,"ضریب فزاینده ( پول ) 

کوتاه‌شدۀ  money multiplier
<ul>
	ضریب فزایندۀ سرمایه‌گذاری یا ضریب فزایندۀ کینز ( نظریۀ كینز )                       investment multiplier or Keynesian multiplier>
</ul>
<ul>
	ضریب فزایندۀ سپرده یا ضریب فزایندۀ اعتبار ( بانك",multiplier
2606,"اوراق بهادار شهرداری‌ها 

کوتاه‌شدۀ  municipal security",muni
2607,بیمۀ اوراق قرضۀ شهرداری,municipal bond insurance
2608,صندوق سرمایه‌گذاری اوراق قرضۀ شهرداری,municipal investment trust-MIT
2609,"اوراق بدهی شهرداری 

( با سررسید دو سال یا كمتر )",municipal note
2610,اوراق قرضۀ درآمدی شهرداری,municipal revenue bond
2611,"هیأت نظارت بر اوراق بهادار شهرداری‌ها

 self - regulatory organization-SRO",Municipal Securities Rulemaking Board-MSRB 
2612,اوراق بهادار پاره‌پوره,mutilated security
2613,"شركت تعاونی

( نظیر شركت تعاونی بیمه، بانك تعاونی پس‌انداز، مؤسسۀ تعاونی )",mutual company
2614,نسبت دارایی نقدی صندوق سرمایه‌گذاری مشترک,mutual fund cash - to - assets ratio
2615,امین صندوق سرمایه‌گذاری مشترک,mutual fund custodian
2616,طبقات سهام صندوق سرمایه‌گذاری مشترک,mutual fund share classes
2617,نماد صندوق سرمایه‌گذاری مشترک,mutual fund symbol
2618,بانک تعاونی پس‌انداز,mutual savings bank
2619,"مرابحه 

( فروش نسیه یا فروش اقساطی به قیمتی  بیش از قیمت نقدی )

 mark-up",Murabaha
2620,"مشاركت

( قرارداد بین دو یا چند نفر برای تأمین مالی  فعالیت‌های تجاری و تولیدی و خدماتی كه طبق آن سود یا زیان حاصل بین شركا به نسبت سرمایۀ آنها تقسیم می‌شود )",Musharaka
2621,اختیار معاملۀ بدون پوشش,naked option
2622,"پذیره‌نویس فاقد پوشش كافی

 selling short",naked short
2623,"فروشندۀ اختیار بدون پوشش

 naked option",naked writer
2624,"بیمۀ خطرات مشخص 

متضاد  all risks insurance",named perils insurance
2625, National Association of Real Estate Investment Trusts-NAREIT,NAREIT
2626,شاخص مبتنی بر تعداد محدودی سهام ( قرارداد آتی),narrow based index-NBI
2627,کاهش دامنک,narrowing the spread
2628,"بازار محدود

( اوراق بهادار یا کالا)

مترادف  inactive market, thin market",narrow market
2629,"بازار سهام نزدک 

( اولین و بزرگ‌ترین فرابورس سهام )",Nasdaq Stock Market
2630,انجمن ملی آموزش سرمایه‌گذاران,National Association of Investors Corporation-NAIC
2631,انجمن ملی صندوق‌های سرمایه‌گذاری مستغلات,National Association of Real Estate Investment Trusts-NAREIT
2632,"انجمن ملی معامله‌گران اوراق بهادار 

( ان ای اس دی)

 Nasdaq Stock Market",National Association of Securities Dealers- NASD 
2633,"بانک فدرالی ( امریکا )

 Member Bank",National Bank
2634,انجمن ملی نظارت بر تعاونی‌های اعتباری ( امریکا),National Credit Union Administration-NCUA
2635,"بدهی ملی

( اوراق قرضه، اسناد خزانه،  اوراق قرضۀ خزانه )",National Debt
2636,بنیاد ملی اعتبارات مصرفی ( امریکا ),National Foundation for Consumer Credit-NFCC
2637,انجمن ملی معاملات آتی ( امریکا ),National Futures Association-NFA
2638,مؤسسۀ ملی روابط سرمایه‌گذاران,National Investor Relations Institute-NIRI
2639,ملی کردن,nationalization
2640,"بورس ملی اوراق بهادار 

( اولین بورس اوراق بهادار تمام الکترونیکی امریکا )",National Stock Exchange-NSX
2641,"بورس ملی سهام هند 

( دومین بورس بزرگ هند )",National Stock Exchange of India-NSE
2642,"نزدیک‌ترین ماه 

( سررسید معاملات اختیار  و آتی کالایی )

 furthest month",nearest month
2643,"شبه‌پول 

( نظیر اوراق بهادار دولتی،  سهام صندوق سرمایه‌گذاری بازار پول، سپردۀ مدت‌دار بانكی )

مترادف  quasi money",near money
2644,استهلاک منفی ( وام ),negative amortization
2645,اهرم منفی,negative carry
2646,"جریان نقدی منفی

 cash f low",negative cash flow
2647,"سرمایۀ منفی 

( کمتر شدن ارزش عین مرهونه  از جمع اقساط باقی‌ماندۀ وام رهنی)",negative equity
2648,مالیات بر درآمد منفی,negative income tax
2649,نرخ بهرۀ منفی,negative interest rate
2650,"شرط وثیقۀ منفی  

( قرارداد اوراق قرضه)

مترادف  covenant of equal coverage",negative pledge clause
2651,"سرمایه در گردش منفی  

( فزونی بدهی‌های جاری بر دارایی‌های جاری)

 working capital",negative working capital
2652,"منحنی ثمر معکوس


( كمتر بودن نرخ بهرۀ بلندمدت از نرخ بهرۀ كوتاه‌مدت)

مترادف  inverted yield curve

 yield curve",negative yield curve
2653,"عملکرد شرکت‌های ناشناخته  

( عملكرد بهتر شركت‌های ناشناخته در مقایسه با متوسط بازار طبق نظریۀ تأثیرگذاری شرکت‌های کوچک)

 small firm effect",neglected firm effect
2654,"قابل انتقال، قابل مذاکره، اسناد قابل انتقال، اوراق بهادار قابل انتقال

	[ به طور كلی ]  1-1. قابل انتقال 1-2. قابل مذاکره>
	[ مالی ] اسناد قابل انتقال ( negotiable instrument)>
	[ سرمایه‌گذاری ] اوراق بهادار قابل انتقال>
</ol>",negotiable
2655,"گواهی سپردۀ قابل انتقال  

مترادف  jumbo certificate of deposit",negotiable certificate of deposit
2656,"اسناد قابل انتقال 

( چک،  سفته، برات)",negotiable instrument
2657,"دستور برداشت قابل انتقال

 super negotiable order of withdrawal ( NOW ) account",negotiable order of withdrawal-NOW 
2658,کارمزد توافقی ( کارگزاری ),negotiated commission
2659,"پذیره‌نویسی توافقی 

( اوراق بهادار تازه منتشرشده )

 competitive bid",negotiated underwriting
2660,"اختیار معاملۀ غیرسهام  

( ارز، اوراق قرضه، کالا، فلزات، و شاخص‌های سهام )",NEO-non equity options
2661,اندوخته ( دوران بازنشستگی ),nest egg
2662,"خالص، قیمت مقطوع 

	[ به طور کلی ] خالص ( سود خالص، فروش خالص، و ... )>
	[ سرمایه‌گذاری ] خالص ( عایدی یا زیان سرمایه‌ای )>
	قیمت مقطوع ( صورت‌حساب )>
</ol>
كوتاه‌شدۀ  terms strictly net",net
2663,عایدی سرمایه‌ای پس از مالیات,net after tax gain
2664,"خالص دارایی‌ها

مترادف  owner’s equity, net worth

 asset coverage",net assets
2665,"قاعدۀ نسبت سرمایۀ خالص

( قواعد کمیسیون بورس و اوراق بهادار امریكا )

مترادف  net capital ratio, net capital rule

 Securities and Exchange Commission Rules",net capital requirement
2666,خالص جریان نقدی,net cash flow
2667,"تغییر قیمت

( سهام و سایر اوراق بهادار )",net change
2668,"خالص دارایی‌های جاری 

( مابه‌التفاوت دارایی‌های جاری و بدهی‌های جاری )

مترادف  working capital",net current assets
2669, net income,net earnings
2670,"ماترك خالص

 gross estate",net estate
2671,"درآمد خالص

( کسب و کار، اشخاص)

مترادف  bottom line, net earnings, net profit or net loss",net income
2672,"سود هر سهم

مترادف  earnings per share-EPS",net income per share of common stock
2673, return on equity,net income to net worth ratio
2674,"خالص هزینة بهره 

( اوراق قرضۀ شركتی یا شهرداری)",net interest cost-NIC
2675,خالص درآمد سرمایه‌گذاری هر سهم,net investment income per share
2676,خالص دارایی‌های عملیاتی,net operating assets
2677,خالص زیان عملیاتی,net operating loss-NOL
2678,خالص ارزش فعلی,net present value-NPV
2679,خالص عایدی,net proceeds
2680, net income,net profit
2681,حاشیۀ درآمد خالص,net profit margin
2682,"خالص دارایی‌های آنی

 quick ratio",net quick assets
2683,"خالص عایدی سرمایه‌ای تحقق‌یافتۀ هر سهم

 regulated investment company",net realized capital gains per share
2684,"خالص درآمد فروش

 gross sales",net sales
2685,"خالص دارایی‌های مشهود هر سهم

 net asset value",net tangible assets per share
2686,"معاملۀ بدون کارمزد 

( معاملات اوراق بهادار )",net transaction
2687,"سرمایه در گردش خالص

مترادف  working capital",net working capital
2688,"ارزش ویژه

مترادف  net assets value, owners’ equity, stockholders’ equity",net worth
2689,"ثمر خالص

 markdown",net yield
2690,"گزارش وضعیت مشتریان جدید ( کارگزاری)

 Know Your Customer",new account report
2691,"نیودیل 

( « برنامۀ نجات‌بخش» فرانكلین روزولت  برای مردم امریكا )",New Deal
2692,"بیشترین/ كمترین قیمت سهام 

(طی یک سال)",new high / new low
2693,پذیرش جدید ( بورس ),new listing	
2694,"تأمین مالی اضافی 

( انتشار اوراق بلندمدت جدید مازاد بر مبلغ اوراق بهادار در حال سررسید یا استرداد )",new money
2695,بورس آتی كالایی نیویورک,New York Board of Trade - NYBOT
2696, American Stock Exchange -  Amex,New York Curb Exchange
2697,بورس كالای نیویورک ( نایمکس ),New York Mercantile Exchange - NYMEX
2698,"بورس اوراق بهادار نیویورک

( بزرگ‌ترین بورس سهام جهان)

مترادف  Big Board, The Exchange",New York Stock Exchange - NYSE
2699,شاخص بورس اوراق بهادار نیویورك,New York Stock Exchange Index
2700,بورس اوراق بهادار نیوزیلند,New Zealand Exchange Limited
2701,تخصصی ( بازار ),niche
2702,کشورهای تازه صنعتی‌شده,NICS-newly industrialized countries 
2703,"پنجاه سهم جذاب

 price / earnings ratio",nifty fifty
2704,"شاخص نیكی

 Nikkei Stock Average",Nikkei Index 
2705,"شاخص میانگین سهام نیکی 

( بورس توکیو )

مترادف  Nikkei Dow, Nikkei Index",Nikkei Stock Average
2706,"قانون نه (9) قرضه

( بورس نیویورک )",Nine - Bond Rule
2707,"نین‌جا 

( وام به اشخاص فاقد درآمد، شغل، دارایی )","ninja - no income, no job, no asset"
2708,"نامۀ عدم اقامۀ دعوی

( کمیسیون بورس  و اوراق بهادار )",No - Action Letter
2709,بازار جهت‌نما,no - brainer
2710,"دامنک ثمر اوراق خزانه و قرضۀ خزانه

 mob spread",nob ( notes over bonds ) spread
2711,بیمه در غیاب مقصر,no fault - insurance
2712,نوفه,noise	
2713,"سهام بدون کارمزد ( فروش )

 direct purchase",no - load stock
2714,"دلارهای اسمی

(تعدیل‌نشده با تورم )",nominal dollars
2715,"درآمد اسمی

(تعدیل‌نشده با  قدرت خرید پول)",nominal income
2716,مظنّه اسمی (بازارگردانی),nominal quotationمظنّه اسمی (بازارگردانی)
2717,"نرخ بهرۀ اسمی

(تعدیل‌نشده با تورم)

متضاد  real interest rate",nominal rate of interest
2718,"ارزش اسمی 

مترادف  face value",nominal value
2719,"ثمر اسمی ( اوراق بهادار )

 rate of return",nominal yield
2720,"وكیل قانونی 

( بانک یا کارگزاری نمایندۀ سهامدار )",nominee
2721,"سهامدار اسمی 

 street name",nominee shareholder
2722,"غیرقابل استرداد 

( سهام ممتاز، اوراق قرضه )

  yield to call",non - callable
2723,هزینه‌های غیرنقدی ( استهلاک ),non - cash charge
2724,"کارگزار غیرعضو ( اتاق پایاپا )

متضاد  clearing member",non - clearing member
2725,طرح بازنشستگی غیرمشارکتی,noncontributory pension plan
2726,"سهام ممتاز بدون سود انباشته

متضاد  cumulative preferred",non - cumulative preferred stock
2727,دارایی غیرجاری,non - current asset
2728,"بدهی غیرجاری 

( بیش از یكسال )",non - current liability
2729,قرارداد تحویل آیندۀ ارز تبدیل‌ناپذیر,nondeliverable forward-NDF
2730,"امین بدون اختیار

متضاد  discretionary trust",non - discretionary trust
2731,"صندوق سرمایه‌گذاری غیرمتنوع

مترادف  concentrated funds, focused funds, undiversified funds",nondiversified management company
2732,"كالاهای بی‌دوام

متضاد  durable goods",nondurable goods
2733,"دارایی‌های غیرمالی 

( نظیر مستغلات،  اموال شخصی )",non - financial assets
2734,"اوراق خزانۀ بدون بهره

مترادف  zero - coupon bond",non - interest - bearing note
2735,"بیمۀ عمر بدون مشارکت در سود

متضاد  participating insurance policies",non - participating life insurance policy
2736,"سهام ممتاز بدون مشاركت در سود

متضاد  participating preferred stock",non - participating preferred stock	
2737,"دارایی ناكارآمد 

( وام‌های تجاری یا مصرفی سررسید گذشته یا دارایی‌های بدون نقش در سود شركت‌ها )",nonperforming asset
2738,وام سررسید گذشته,nonperforming loan-NPL
2739,وام غیرمولد,non - productive loan
2740,"وام غیرخرید اوراق بهادار 

( وام‌هایی كه وثیقۀ آن‌ها اوراق بهادار است، اما صرف خرید اوراق بهادار نمی‌شود)

 purpose loan",nonpurpose loan
2741,رتبه‌بندی‌نشده ( اوراق قرضه),nonrated
2742,"وام با حق رجوع محدود

 direct participation program",nonrecourse loan
2743,"هزینۀ غیرمستمر

مترادف  extraordinary charge",nonrecurring charge
2744,"غیرقابل تأمین مالی مجدد

( مصرح در بعضی از قراردادهای اوراق قرضه)

 call protection",non - refundable
2745,نظام بانكداری غیرربوی,non - usury banking system
2746,"سهام بدون قیمت اسمی

مترادف  no - par stock",no - par - value stock
2747,"نوركس 

( اتحادیۀ بورس‌های اوراق بهادار كشورهای  نوردیك و بالتیك)",Norex
2748,"عواید تعدیل‌شده

(برای چرخه‌های تجاری)",normalized earnings
2749,بازنشستگی به موقع,normal retirement
2750,"واحد رایج معاملات ( اوراق بهادار)

مترادف  round lot",normal trading unit
2751, Standard Industrial Classification (SIC) System,North American Industrial Classification System-NAICS
2752,"حساب ما

(حساب بانك نزد بانك كارگزار در كشوری دیگر)

 vostro account",nostro account
2753,"غیرانتفاعی

مترادف  nonprofit",not - for - profit
2754,"بدون مسئولیت کارگزار 

(سفارش خرید یا فروش اوراق بهادار)

 specialist block purchase and sale",not held- NH
2755,"آگهی فروش

(انتشار اوراق بهادار جدید)",Notice of Sale
2756,"بدون رتبۀ اعتباری

(اوراق بهادار یا کالا)",not rated-NR
2757,"چک بی‌محل

مترادف  bounced check, insufficient funds check",not - sufficient - funds check
2758,"بازار شرکت‌های نوآور

(بورس پاریس)",nouveau marche
2759,"تبدیل قرارداد، تبدیل تعهد

	تبدیل قرارداد (یا طرف قرارداد)>
	تبدیل تعهد (بدهی قبلی به بدهی جدید)>
</ol>",novation
2760, negotiable order of withdrawal,NOW account
2761,كان لم یكن,null and void
2762,سکّه کلکسیونی,numismatic coin
2763,"آگهی فروش

(انتشار اوراق بهادار جدید)",Notice of Sale
2764,"بدون رتبۀ اعتباری

(اوراق بهادار یا کالا)",not rated-NR
2765,"چک بی‌محل

مترادف  bounced check, insufficient funds check",not - sufficient - funds check
2766,"بازار شرکت‌های نوآور

(بورس پاریس)",nouveau marche
2767,"تبدیل قرارداد، تبدیل تعهد

	تبدیل قرارداد (یا طرف قرارداد)>
	تبدیل تعهد (بدهی قبلی به بدهی جدید)>
</ol>",novation
2768, negotiable order of withdrawal,NOW account
2769,كان لم یكن,null and void
2770,سکّه کلکسیونی,numismatic coin
2771,واژه های تازه,new words
2772,صفحه نخست,first page
2773,تعهد,obligation
2774,اوراق قرضۀ تعهدی,obligation bond
2775,"متعهد

مترادف  debtor",obligor
2776,"معامله‌گر پاره‌فال (اوراق بهادار)

 odd - lot",odd - lot dealer
2777,"نسبت فروش عاریه‌ای پاره‌فال

مترادف  odd-lot selling indicator

 odd - lot theory",odd - lot short - sale ratio
2778,"نظریۀ پاره‌فال

 odd - lot short - sale ratio",odd - lot theory
2779,تأمین مالی خارج از ترازنامه,off - balance - sheet financing
2780,"قیمت درخواستی ( فروش )

مترادف  asked price

متضاد  bid price

 offering price",offer
2781, public offering,offering 
2782,prospectus,offering circular 
2783,"قیمت عرضۀ عمومی

 offer",offering price
2784,"دامنۀ قیمت عرضۀ عمومی

(پذیره‌نویسی اوراق قرضۀ سریالی )",offering scale
2785,"اعلامیۀ آمادگی خرید

( اوراق بهادار )

 bid wanted",offer wanted-OW
2786,"سفارش خارج از تالار 

(خرید و فروش اوراق بهادار به حساب مشتری )

متضاد  on - floor order",off - floor order
2787,برون‌خط,off line
2788,"ادارۀ نظارت بر مؤسسات پس‌انداز

(وزارت خزانه‌داری امریکا)

 bailout bond",Office of Thrift Supervision-OTS 
2789,"دعوت‌نامۀ رسمی مزایده 

( انتشار اوراق قرضۀ جدید شهرداری‌ها )",official notice of sale
2790, legal opinion,official statement 
2791,"رقم جبرانی، رقم اصلاحی، حق تهاتر، معاملۀ جبرانی، معاملۀ تأمینی

	[ حسابداری ] 1-1. رقم جبرانی 1-2. رقم اصلاحی>
	[ بانكداری ] حق تهاتر (حق بانك ناظر بر ضبط سپردۀ نزد آن به منظور وصول وام نکول‌شده) (كوتاه‌شدۀ  right of offset)>
	[ اوراق بهادار، کالاهای ",offset	
2792,"فراساحل 

(سازمان‌های مالی خارج از امریکا )",offshore
2793,صندوق سرمایه‌گذاری مشترك فراساحل,offshore fund
2794,شركت مختلط غیرسهامی نفت و گاز,oil and gas limited partnership
2795,"انحصار چندجانبه

 oligopsony",oligopoly
2796,انحصار چندجانبۀ خرید,oligopsony
2797,"اُمگا

(الگوی قیمت‌گذاری ابزار مشتقه )

مترادف  zeta, sigma prime, kappa, vega",omega
2798,سود سهام متوقف,omitted dividend
2799,"حساب جمعی

 futures commission merchant",omnibus account
2800,"اُ. ام. ایکس 

( بزرگترین بازار اوراق بهادار اروپای شمالی )",OMX
2801,"علی‌الحساب، نسیه

	[ به طور كلی ] علی‌الحساب>
	[ مالی ] نسیه>
</ol>
مترادف  open account",on account	
2802, scale order,on a scale 
2803,حجم متوازن ( تحلیل تکنیکال ),on - balance volume
2804,"تك‌بورس شیکاگو

( مشاركت خاص   سه بورس معاملات اختیار و آتی شیکاگو، بورس اختیار معاملۀ شیکاگو، و بورس كالای شیکاگو )",Onechicago LLC
2805,"سفارش یكی اجرا، دیگری ابطال

 alternative order",one - cancels - the - other order
2806,"سهام قابل نگهداری

 buy and hold strategy",one decision stock
2807, common size statement,one hundred percent statement 
2808,قاعدۀ یک سهم، یک رأی,one - share - one vote rule
2809,"سفارش تالار 

(معاملات اوراق بهادار به حساب کارگزار)

متضاد   off - floor order",on - floor order
2810,برخط,on - line
2811,کارگزار برخط,on - line broker
2812,معاملات برخط,on - line trading
2813,margin,on margin 
2814,"سفارش نزدیک به قیمت پایانی 

( اوراق بهادار )",on the close order
2815,"سفارش به قیمت معاملۀ آغازین 

(خرید و فروش تعداد مشخصی از سهام معین )",on the opening order
2816,سرمایه‌گذار نظاره‌گر,on the sideline
2817,"اعتبارگردان 

( خط اعتباری بانک‌ها،  مؤسسات پس‌انداز و وام، و سایر وام‌دهندگان )

مترادف  revolving credit, revolving line of credit",open - end credit
2818,"اجارۀ بلندمدت باز

( قرارداد مبتنی بر پرداخت اضافی متناسب با تغییر در ارزش ملك به هنگام بازگرداندن آن به موجر)",open - end lease	
2819,"شرکت مدیریت صندوق سرمایه‌گذاری با سرمایۀ متغیر

متضاد  closed - end management company

 exchange - traded funds",open - end management company
2820,"رهنِ باز

(تأمین مالی مستغلات،  بانکداری امانی)",open - end mortgage
2821, open - end management company,open - end (mutual ) fund
2822,"قیمت آغازین، روزنه، بازگشایی

	قیمت آغازین ( کالا، اوراق بهادار)>
	روزنه  (ایجاد فرصت‌های كوتاه‌مدت در بازار) ( window)>
	بازگشایی ( نمادهای متوقف) ( halted symbols)>
</ol>",opening
2823,"قراردادهای باز

( کل قراردادهای تعیین  تکلیف‌نشده آتی یا اختیار معامله )",open interest
2824, Federal Open Market Committee,Open Market Committee
2825,"عملیات بازار باز

( سیاست پولی )",open market operations
2826,"نرخ بهرۀ بازار آزاد 


( سازوكار عرضه و تقاضا )",open - market rates
2827,"موضعِ باز

( موضع‌گیر بلوکی )

 block positioning",open on the print
2828,"سفارشِ باز 

( اجرانشده و باطل‌نشده )

 good - till - canceled order",open order
2829,"حراج حضوری

[ حراج با بانگ بلند ]",open outcry
2830,"قرارداد بازخرید باز 

( قابل استرداد در هر زمان )

 repurchase agreement",open repo
2831, operating profit or loss,operating income
2832,"زیان عملیاتی

 operating profit or loss",operating in the red
2833,"اجارۀ بلندمدت عملیاتی

( تجهیزات )

مترادف  service lease

متضاد  capital lease",operating lease
2834,"اهرم عملیاتی


 leverage",operating leverage 
2835, net profit margin,operating profit margin
2836,"سود یا زیان عملیاتی 

مترادف  net operating profit (or loss), operating income (or loss),  net operating income or loss",operating profit or loss
2837,"نرخ بهره‌برداری


( استفادۀ عملیاتی از ظرفیت اسمی بنگاه‌های اقتصادی یا اقتصاد ملی كشورها )",operating rate
2838,نسبت عملیاتی,operating ratio
2839,"بخش عملیات

( امور دفتری شرکت‌های کارگزاری )

 back office",operations department
2840, accountant’s opinion,opinion
2841,"خرید حسابرس

 accountant’s opinion",opinion shopping
2842,"استفاده از پول دیگران، الگوی قیمت‌گذاری اختیار معامله

	استفاده از پول دیگران ( financial leverage)>
	الگوی قیمت‌گذاری اختیار معامله>
</ol>
 Black - Scholes option pricing model","OPM-other people’s money, opinion pricing model"
2843,"هزینۀ فرصت

( مالی شرکت‌ها، سرمایه‌گذاری اوراق بهادار )

 cost of capital",opportunity cost
2844,"ظرفیت بهینه

 marginal cost",optimum capacity
2845,"حساب اختیار معامله

( شرکت‌های کارگزاری )",option account
2846,"قرارداد اختیار معامله 

مترادف  option information form",option agreement
2847,"چرخۀ اختیار معامله

مترادف  expiration cycle",option cycle
2848,"سود سهام اختیاری 


( نقد یا سهام )",optional dividend
2849,"قرضه با پرداخت اختیاری

( پرداخت اصل یا بهرۀ اوراق قرضه به ارز و پول ملی )",optional payment bond
2850,"دارندۀ اختیار معامله 

( خرید یا فروش )",option holder
2851,"حداقل ودیعۀ اختیار

 margin requirement",option margin
2852,صندوق سرمایه‌گذاری اختیار معامله,option mutual fund
2853,قیمت بازار اختیار,option price
2854,"شرکت پایاپای اختیار معامله

( بزرگترین سازمان تهاتری ابزار مشتقۀ مالی در جهان )

 option",Options Clearing Corporation-OCC 
2855,اختیار معامله روی آتی‌های ارزی,options on currency futures
2856,"زنجیرۀ اختیار معامله

( اختیار خرید یا اختیار  فروش هم طبقه با قیمت اِعمال و سررسید یكسان )

 option",option series
2857,"دامنک اختیار 

( خرید و فروش اختیار  هم طبقه در یک زمان )",option spread 
2858,"فروشندۀ اختیار

( خرید یا فروش )",option writer 
2859,قرارداد شفاهی,oral contract
2860,"به قیمت معین یا بهتر

( خرید یا فروش اوراق بهادار )

 limit order",or better-OB 
2861,"سفارش، به حواله‌كرد، حکم، مقررات

	[ سرمایه‌گذاری ] سفارش ( دستور خرید یا فروش کالا یا  اوراق بهادار به كارگزار )>
	[ بانكداری ] به حواله‌كرد ( چک در وجه شخص معین قابل انتقال به شخص معین دیگر ) (کوتاه‌شدۀ   to the order of)>
	[ حقوق ] 3-1. حکم 3-2. مق",order
2862,"سفارش ناموزون

( خرید یا فروش سهام )",order imbalance
2863,"دایرۀ سفارش‌ها 

( شرکت‌های کارگزاری )",order room
2864,"تجزیۀ سفارش‌ها

 small order execution system-SOES",order splitting
2865,درآمد عادی,ordinary income
2866,"بهرۀ معمولی 

(360 روز)

متضاد  exact interest",ordinary interest 
2867, whole life insurance,ordinary life insurance 
2868,"سهام عادی 

(معادل انگلیسی)

  common stock",ordinary shares
2869,نمودار سازمانی,organization chart
2870,"بورس سازمان‌یافته 

متضاد  over-the-counter market

 securities and commodities exchanges",organized securities exchange
2871,"بهای تمام‌شدۀ اولیه

( حسابداری )",original cost
2872,"كسر در زمان انتشار 

( تخفیف قیمت قرضه یا سایر ابزارهای بدهی روی ارزش اسمی آن‌ها در زمان انتشار )",original issue discount-OID 
2873,"سررسید ثابت

( از تاریخ انتشار تا انقضا )

متضاد  current maturity",original maturity	
2874,"بانی، مدیر پذیره‌نویسی، گشاینده 

	[ بانکداری تجاری و رهنی، مؤسسات پس‌انداز و وام ] بانی>
	[ بانکداری سرمایه‌گذاری ] مدیر پذیره‌نویسی ( انتشار اوراق بهادار جدید ) (مترادف  originating investment banker)>
	گشاینده ( بانک صادرکنندۀ اعتبار و بانك انتقال‌",originator
2875,"سهام فراموش‌شده

مترادف  wallflower",orphan stock
2876,"نوسان‌گر

 momentum indicators",oscillator
2877,"بورس اسلو

 Norex",Oslo Bors-OSE 
2878, over the counter,OTC
2879,"بولتن مظنۀ فرابورس 

( خارج از ضوابط نزدک )",OTC Bulletin Board-OTCBB 
2880,"سهام اعتباری فرابورس

 margin security",OTC margin stock
2881,"سایر سرمایه‌گذاری‌ها

( حساب سرمایۀ موازنۀ پرداخت‌ها )",other capital
2882,"سایر درآمدها 

( حساب سود و زیان )

 extraordinary item",other income	
2883, OPM,other people’s money
2884,صنعت یا سهام نامطلوب,out - of - favor industry or stock
2885,سهام بی‌تناسب,out of line
2886,"با ارزش ذاتی منفی 

( اختیار معامله )",out of the money
